glacier,epoch,elevation_band_m,area_km2
Rikha Samba Glacier,1991,5300,0.0171
Rikha Samba Glacier,1991,5400,0.4446
Rikha Samba Glacier,1991,5500,0.4203
Rikha Samba Glacier,1991,5600,0.8982
Rikha Samba Glacier,1991,5700,1.4022
Rikha Samba Glacier,1991,5800,1.017
Rikha Samba Glacier,1991,5900,1.0845
Rikha Samba Glacier,1991,6000,0.4644
Rikha Samba Glacier,1991,6100,0.2268
Rikha Samba Glacier,1991,6200,0.2241
Rikha Samba Glacier,1991,6300,0.18
Rikha Samba Glacier,1991,6400,0.1044
Rikha Samba Glacier,1991,6500,0.0063
Rikha Samba Glacier,1999,5300,0.0171
Rikha Samba Glacier,1999,5400,0.4446
Rikha Samba Glacier,1999,5500,0.4257
Rikha Samba Glacier,1999,5600,0.9018
Rikha Samba Glacier,1999,5700,1.4049
Rikha Samba Glacier,1999,5800,1.0161
Rikha Samba Glacier,1999,5900,1.089
Rikha Samba Glacier,1999,6000,0.4644
Rikha Samba Glacier,1999,6100,0.2277
Rikha Samba Glacier,1999,6200,0.2241
Rikha Samba Glacier,1999,6300,0.18
Rikha Samba Glacier,1999,6400,0.1053
Rikha Samba Glacier,1999,6500,0.0063
Rikha Samba Glacier,2011,5300,0.0018
Rikha Samba Glacier,2011,5400,0.3618
Rikha Samba Glacier,2011,5500,0.3978
Rikha Samba Glacier,2011,5600,0.8883
Rikha Samba Glacier,2011,5700,1.3932
Rikha Samba Glacier,2011,5800,1.0026
Rikha Samba Glacier,2011,5900,1.0746
Rikha Samba Glacier,2011,6000,0.4626
Rikha Samba Glacier,2011,6100,0.2277
Rikha Samba Glacier,2011,6200,0.2232
Rikha Samba Glacier,2011,6300,0.18
Rikha Samba Glacier,2011,6400,0.1026
Rikha Samba Glacier,2011,6500,0.0063
Rikha Samba Glacier,2021,5400,0.117
Rikha Samba Glacier,2021,5500,0.3312
Rikha Samba Glacier,2021,5600,0.8721
Rikha Samba Glacier,2021,5700,1.4004
Rikha Samba Glacier,2021,5800,1.0044
Rikha Samba Glacier,2021,5900,1.0809
Rikha Samba Glacier,2021,6000,0.4608
Rikha Samba Glacier,2021,6100,0.2277
Rikha Samba Glacier,2021,6200,0.2241
Rikha Samba Glacier,2021,6300,0.18
Rikha Samba Glacier,2021,6400,0.1044
Rikha Samba Glacier,2021,6500,0.0063
Ponkar Glacier,1991,4300,0.0036
Ponkar Glacier,1991,4400,0.4734
Ponkar Glacier,1991,4500,0.1881
Ponkar Glacier,1991,4600,0.1143
Ponkar Glacier,1991,4700,0.0792
Ponkar Glacier,1991,4800,0.1575
Ponkar Glacier,1991,4900,0.0999
Ponkar Glacier,1991,5000,0.1377
Ponkar Glacier,1991,5100,0.1755
Ponkar Glacier,1991,5200,0.1224
Ponkar Glacier,1991,5300,0.1125
Ponkar Glacier,1991,5400,0.3303
Ponkar Glacier,1991,5500,0.5913
Ponkar Glacier,1991,5600,1.2735
Ponkar Glacier,1991,5700,1.4985
Ponkar Glacier,1991,5800,3.0636
Ponkar Glacier,1991,5900,3.5028
Ponkar Glacier,1991,6000,3.7737
Ponkar Glacier,1991,6100,2.7468
Ponkar Glacier,1991,6200,1.2402
Ponkar Glacier,1991,6300,0.4302
Ponkar Glacier,1991,6400,0.2259
Ponkar Glacier,1991,6500,0.0036
Ponkar Glacier,1999,4400,0.3222
Ponkar Glacier,1999,4500,0.1845
Ponkar Glacier,1999,4600,0.18
Ponkar Glacier,1999,4700,0.2061
Ponkar Glacier,1999,4800,0.1773
Ponkar Glacier,1999,4900,0.1188
Ponkar Glacier,1999,5000,0.1467
Ponkar Glacier,1999,5100,0.1872
Ponkar Glacier,1999,5200,0.1278
Ponkar Glacier,1999,5300,0.1116
Ponkar Glacier,1999,5400,0.333
Ponkar Glacier,1999,5500,0.5904
Ponkar Glacier,1999,5600,1.2753
Ponkar Glacier,1999,5700,1.503
Ponkar Glacier,1999,5800,3.0654
Ponkar Glacier,1999,5900,3.5289
Ponkar Glacier,1999,6000,3.7764
Ponkar Glacier,1999,6100,2.7414
Ponkar Glacier,1999,6200,1.2303
Ponkar Glacier,1999,6300,0.4302
Ponkar Glacier,1999,6400,0.2259
Ponkar Glacier,1999,6500,0.0036
Ponkar Glacier,2011,4400,0.3168
Ponkar Glacier,2011,4500,0.1926
Ponkar Glacier,2011,4600,0.1134
Ponkar Glacier,2011,4700,0.0954
Ponkar Glacier,2011,4800,0.1566
Ponkar Glacier,2011,4900,0.1143
Ponkar Glacier,2011,5000,0.1449
Ponkar Glacier,2011,5100,0.1872
Ponkar Glacier,2011,5200,0.1287
Ponkar Glacier,2011,5300,0.1161
Ponkar Glacier,2011,5400,0.333
Ponkar Glacier,2011,5500,0.5913
Ponkar Glacier,2011,5600,1.2762
Ponkar Glacier,2011,5700,1.5048
Ponkar Glacier,2011,5800,3.0672
Ponkar Glacier,2011,5900,3.5325
Ponkar Glacier,2011,6000,3.762
Ponkar Glacier,2011,6100,2.7441
Ponkar Glacier,2011,6200,1.233
Ponkar Glacier,2011,6300,0.4302
Ponkar Glacier,2011,6400,0.2259
Ponkar Glacier,2011,6500,0.0036
Ponkar Glacier,2021,4400,0.1386
Ponkar Glacier,2021,4500,0.1881
Ponkar Glacier,2021,4600,0.1521
Ponkar Glacier,2021,4700,0.0972
Ponkar Glacier,2021,4800,0.1386
Ponkar Glacier,2021,4900,0.1026
Ponkar Glacier,2021,5000,0.1359
Ponkar Glacier,2021,5100,0.1755
Ponkar Glacier,2021,5200,0.1287
Ponkar Glacier,2021,5300,0.1179
Ponkar Glacier,2021,5400,0.3321
Ponkar Glacier,2021,5500,0.5913
Ponkar Glacier,2021,5600,1.2753
Ponkar Glacier,2021,5700,1.503
Ponkar Glacier,2021,5800,3.0627
Ponkar Glacier,2021,5900,3.5073
Ponkar Glacier,2021,6000,3.7683
Ponkar Glacier,2021,6100,2.7243
Ponkar Glacier,2021,6200,1.2267
Ponkar Glacier,2021,6300,0.4302
Ponkar Glacier,2021,6400,0.2259
Ponkar Glacier,2021,6500,0.0036
