glacier,domain_buffer_m,ndsi_threshold,area_1991_km2,area_1999_km2,area_2011_km2,area_2021_km2,change_km2,change_pct
Rikha Samba Glacier,0,0.35,6.494,6.508,6.342,6.019,-0.474,-7.3
Rikha Samba Glacier,0,0.4,6.49,6.507,6.322,6.009,-0.481,-7.41
Rikha Samba Glacier,0,0.45,6.486,6.505,6.311,6.002,-0.484,-7.46
Rikha Samba Glacier,100,0.35,7.671,7.788,7.345,6.914,-0.757,-9.87
Rikha Samba Glacier,100,0.4,7.617,7.742,7.285,6.869,-0.748,-9.82
Rikha Samba Glacier,100,0.45,7.575,7.681,7.231,6.842,-0.734,-9.68
Rikha Samba Glacier,200,0.35,8.654,9.004,8.394,7.903,-0.752,-8.68
Rikha Samba Glacier,200,0.4,8.55,8.905,8.3,7.837,-0.713,-8.34
Rikha Samba Glacier,200,0.45,8.474,8.791,8.212,7.773,-0.701,-8.27
Rikha Samba Glacier,300,0.35,9.485,9.959,9.229,8.73,-0.755,-7.96
Rikha Samba Glacier,300,0.4,9.351,9.843,9.118,8.65,-0.701,-7.5
Rikha Samba Glacier,300,0.45,9.257,9.712,9.007,8.566,-0.691,-7.47
Rikha Samba Glacier,500,0.35,11.551,12.501,11.5,10.702,-0.849,-7.35
Rikha Samba Glacier,500,0.4,11.411,12.336,11.341,10.605,-0.806,-7.07
Rikha Samba Glacier,500,0.45,11.287,12.17,11.171,10.508,-0.778,-6.9
Ponkar Glacier,0,0.35,20.493,20.596,20.373,20.18,-0.313,-1.53
Ponkar Glacier,0,0.4,20.345,20.466,20.27,20.026,-0.319,-1.57
Ponkar Glacier,0,0.45,20.265,20.207,20.1,19.894,-0.372,-1.83
Ponkar Glacier,100,0.35,23.27,23.749,23.407,22.853,-0.418,-1.79
Ponkar Glacier,100,0.4,23.063,23.523,23.241,22.637,-0.427,-1.85
Ponkar Glacier,100,0.45,22.918,23.18,22.982,22.452,-0.465,-2.03
Ponkar Glacier,200,0.35,26.293,27.636,27.048,25.853,-0.439,-1.67
Ponkar Glacier,200,0.4,25.977,27.32,26.797,25.55,-0.427,-1.64
Ponkar Glacier,200,0.45,25.771,26.833,26.432,25.242,-0.528,-2.05
Ponkar Glacier,300,0.35,28.236,30.154,29.354,27.852,-0.383,-1.36
Ponkar Glacier,300,0.4,27.765,29.72,29.066,27.459,-0.306,-1.1
Ponkar Glacier,300,0.45,27.496,29.172,28.638,26.942,-0.554,-2.02
Ponkar Glacier,500,0.35,32.441,38.397,33.635,32.079,-0.363,-1.12
Ponkar Glacier,500,0.4,31.963,37.797,33.3,31.604,-0.358,-1.12
Ponkar Glacier,500,0.45,31.524,33.738,32.814,31.189,-0.336,-1.06
